ID_file,object,legislature,class
47970,4122,XVI,"ORDINE PUBBLICO - FORZE ARMATE, Pubblica sicurezza, STATUTO"
47971,4123,XVI,"CONSIGLIO REGIONALE, Attività consiliare d'aula"
47981,4124,XVI,"CONSIGLIO REGIONALE, Attività consiliare d'aula"
47982,4125,XVI,"CONSIGLIO REGIONALE, Attività consiliare d'aula"
47983,4126,XVI,"CONSIGLIO REGIONALE, Attività consiliare d'aula"
47984,4127,XVI,"CONSIGLIO REGIONALE, Costituzione e funzionamento degli organi consiliari"
47985,4128,XVI,AMMINISTRAZIONE REGIONALE
47986,4129,XVI,BILANCIO E CONTABILITA' REGIONALE
47987,4130,XVI,BILANCIO E CONTABILITA' REGIONALE
47988,4131,XVI,BILANCIO E CONTABILITA' REGIONALE
47989,4132,XVI,AGRICOLTURA
47990,4133,XVI,"ENTI LOCALI, Comuni"
